UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
1,M00001,M,296.2,307.4,1375,46.0,47,0,0,0,0,0,0
2,L00001,L,302.3,312.6,1403,24.6,187,0,0,0,0,0,0
3,H00001,H,302.4,312.3,1226,45.4,170,0,0,0,0,0,0
4,M00002,M,299.1,310.8,1492,39.0,61,0,0,0,0,0,0
5,L00002,L,301.0,311.1,1446,41.0,77,0,0,0,0,0,0
6,H00002,H,299.6,310.5,1864,49.6,106,0,0,0,0,0,0
7,M00003,M,300.5,312.4,1671,31.8,170,0,0,0,0,0,0
8,M00004,M,297.7,308.5,1397,39.7,240,0,0,0,0,0,0
9,L00003,L,301.2,310.2,1168,43.0,251,0,0,0,0,0,0
10,L00004,L,296.7,305.5,1168,37.0,174,0,0,0,0,0,0
11,L00005,L,296.3,306.0,1294,47.2,104,0,0,0,0,0,0
12,H00003,H,299.8,310.5,1233,43.3,17,0,0,0,0,0,0
13,M00005,M,299.6,310.0,1569,34.2,150,0,0,0,0,0,0
14,H00004,H,300.5,312.5,1471,52.6,121,0,0,0,0,0,0
15,L00006,L,298.7,309.1,1503,45.6,169,0,0,0,0,0,0
16,L00007,L,303.8,313.4,1310,31.6,244,0,0,0,0,0,0
17,M00006,M,300.3,309.2,1530,31.5,42,0,0,0,0,0,0
18,L00008,L,300.5,311.6,1215,37.8,93,0,0,0,0,0,0
19,H00005,H,300.4,310.4,1482,44.5,145,0,0,0,0,0,0
20,M00007,M,302.0,310.5,1666,17.9,88,0,0,0,0,0,0
21,M00008,M,301.2,311.2,1426,32.0,44,0,0,0,0,0,0
22,L00009,L,300.9,309.9,1588,34.2,151,0,0,0,0,0,0
23,H00006,H,301.5,311.0,1168,25.6,9,0,0,0,0,0,0
24,H00007,H,296.4,306.4,1168,29.8,95,0,0,0,0,0,0
25,M00009,M,296.4,305.5,1565,41.4,246,0,0,0,0,0,0
26,L00010,L,299.8,309.4,1709,35.1,120,0,0,0,0,0,0
27,L00011,L,299.6,308.9,1452,35.9,25,0,0,0,0,0,0
28,L00012,L,301.2,310.4,1929,26.2,211,0,0,0,0,0,0
29,L00013,L,300.0,309.0,1211,37.9,45,0,0,0,0,0,0
30,M00010,M,301.2,310.7,1364,25.0,63,0,0,0,0,0,0
31,M00011,M,297.5,306.6,1528,54.6,243,0,0,0,0,0,0
32,H00008,H,300.0,310.6,1592,57.4,196,0,0,0,0,0,0
33,L00014,L,297.3,307.5,1383,35.3,81,0,0,0,0,0,0
34,L00015,L,300.8,312.0,1288,28.8,163,0,0,0,0,0,0
35,L00016,L,296.2,308.1,1624,48.5,123,0,0,0,0,0,0
36,L00017,L,300.7,311.4,1526,45.9,225,0,0,0,0,0,0
37,L00018,L,297.1,307.5,1431,58.7,141,0,0,0,0,0,0
38,L00019,L,299.2,310.0,1599,61.4,167,0,0,0,0,0,0
39,L00020,L,301.8,312.3,1472,19.7,37,0,0,0,0,0,0
40,M00012,M,300.5,310.5,1472,51.6,63,0,0,0,0,0,0
41,L00021,L,296.7,306.7,1464,37.8,6,0,0,0,0,0,0
42,H00009,H,298.7,307.6,1335,45.5,148,0,0,0,0,0,0
43,M00013,M,297.0,307.8,1315,47.8,142,0,0,0,0,0,0
