UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,record_id,equipment_id,equipment_type,equipment_model,hospital_unit,timestamp,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,failure_type,severity,downtime_hours,maintenance_cost_usd,days_since_last_pm,technician_notes
1,M00001,M,296.2,307.4,1375,46.0,47,0,0,0,0,0,0,REC00001,ICU001,ICU Device,Nellcor PM1000N,Emergency,2024-02-27 00:00:00,296.2,307.4,1375,46.0,47,0,No Failure,Medium,0.0,0,128,Routine inspection completed. All parameters normal.
2,L00001,L,302.3,312.6,1403,24.6,187,0,0,0,0,0,0,REC00002,PAT001,Patient Monitor,Mindray N22,General Ward,2024-03-25 00:00:00,302.3,312.6,1403,24.6,187,0,No Failure,Low,0.0,0,25,Routine inspection completed. All parameters normal.
3,H00001,H,302.4,312.3,1226,45.4,170,0,0,0,0,0,0,REC00003,CT001,CT Scanner,Siemens SOMATOM Drive,Radiology,2023-05-04 00:00:00,302.4,312.3,1226,45.4,170,0,No Failure,Medium,0.0,0,169,Scheduled check completed. No anomalies detected.
4,M00002,M,299.1,310.8,1492,39.0,61,0,0,0,0,0,0,REC00004,ICU001,ICU Device,Nellcor PM1000N,Emergency,2023-04-01 00:00:00,299.1,310.8,1492,39.0,61,0,No Failure,Low,0.0,0,34,Preventive maintenance performed. Equipment functioning within specifications.
5,L00002,L,301.0,311.1,1446,41.0,77,0,0,0,0,0,0,REC00005,PAT001,Patient Monitor,Mindray N22,Cardiology,2024-04-23 00:00:00,301.0,311.1,1446,41.0,77,0,No Failure,Low,0.0,0,95,Preventive maintenance performed. Equipment functioning within specifications.
6,H00002,H,299.6,310.5,1864,49.6,106,0,0,0,0,0,0,REC00006,MRI001,MRI,Siemens MAGNETOM Vida,Radiology,2023-12-09 00:00:00,299.6,310.5,1864,49.6,106,0,No Failure,Medium,0.0,0,123,Preventive maintenance performed. Equipment functioning within specifications.
7,M00003,M,300.5,312.4,1671,31.8,170,0,0,0,0,0,0,REC00007,ICU001,ICU Device,Nellcor PM1000N,Emergency,2023-07-13 00:00:00,300.5,312.4,1671,31.8,170,0,No Failure,Medium,0.0,0,155,Routine inspection completed. All parameters normal.
8,M00004,M,297.7,308.5,1397,39.7,240,0,0,0,0,0,0,REC00008,LAB001,Lab Analyzer,Beckman AU5800,General Ward,2023-07-06 00:00:00,297.7,308.5,1397,39.7,240,0,No Failure,Medium,0.0,0,168,Routine inspection completed. All parameters normal.
9,L00003,L,301.2,310.2,1168,43.0,251,0,0,0,0,0,0,REC00009,VEN001,Ventilator,Drager Evita V500,ICU,2023-01-29 00:00:00,301.2,310.2,1168,43.0,251,0,No Failure,Low,0.0,0,108,Calibration verified. Sensor readings within tolerance.
10,L00004,L,296.7,305.5,1168,37.0,174,0,0,0,0,0,0,REC00010,INF001,Infusion Pump,Baxter Sigma Spectrum,General Ward,2024-09-15 00:00:00,296.7,305.5,1168,37.0,174,0,No Failure,Low,0.0,0,104,Routine inspection completed. All parameters normal.
11,L00005,L,296.3,306.0,1294,47.2,104,0,0,0,0,0,0,REC00011,PAT001,Patient Monitor,Mindray N22,Emergency,2024-09-06 00:00:00,296.3,306.0,1294,47.2,104,0,No Failure,Low,0.0,0,75,Routine inspection completed. All parameters normal.
12,H00003,H,299.8,310.5,1233,43.3,17,0,0,0,0,0,0,REC00012,MRI001,MRI,Siemens MAGNETOM Vida,Radiology,2024-02-09 00:00:00,299.8,310.5,1233,43.3,17,0,No Failure,Medium,0.0,0,102,Routine inspection completed. All parameters normal.
13,M00005,M,299.6,310.0,1569,34.2,150,0,0,0,0,0,0,REC00013,ICU001,ICU Device,Nellcor PM1000N,Emergency,2023-09-13 00:00:00,299.6,310.0,1569,34.2,150,0,No Failure,Low,0.0,0,122,Preventive maintenance performed. Equipment functioning within specifications.
14,H00004,H,300.5,312.5,1471,52.6,121,0,0,0,0,0,0,REC00014,MRI001,MRI,Philips Ingenia 3T,Oncology,2023-06-07 00:00:00,300.5,312.5,1471,52.6,121,0,No Failure,Medium,0.0,0,117,Preventive maintenance performed. Equipment functioning within specifications.
15,L00006,L,298.7,309.1,1503,45.6,169,0,0,0,0,0,0,REC00015,VEN001,Ventilator,Drager Evita V500,ICU,2023-08-13 00:00:00,298.7,309.1,1503,45.6,169,0,No Failure,Low,0.0,0,107,Routine inspection completed. All parameters normal.
16,L00007,L,303.8,313.4,1310,31.6,244,0,0,0,0,0,0,REC00016,INF001,Infusion Pump,Baxter Sigma Spectrum,ICU,2024-11-07 00:00:00,303.8,313.4,1310,31.6,244,0,No Failure,Low,0.0,0,79,Preventive maintenance performed. Equipment functioning within specifications.
17,M00006,M,300.3,309.2,1530,31.5,42,0,0,0,0,0,0,REC00017,LAB001,Lab Analyzer,Beckman AU5800,General Ward,2023-03-06 00:00:00,300.3,309.2,1530,31.5,42,0,No Failure,Low,0.0,0,35,Calibration verified. Sensor readings within tolerance.
18,L00008,L,300.5,311.6,1215,37.8,93,0,0,0,0,0,0,REC00018,VEN001,Ventilator,Drager Evita V500,ICU,2024-08-23 00:00:00,300.5,311.6,1215,37.8,93,0,No Failure,Low,0.0,0,9,Preventive maintenance performed. Equipment functioning within specifications.
19,H00005,H,300.4,310.4,1482,44.5,145,0,0,0,0,0,0,REC00019,CT001,CT Scanner,GE Revolution CT,Emergency,2023-08-11 00:00:00,300.4,310.4,1482,44.5,145,0,No Failure,Medium,0.0,0,76,Calibration verified. Sensor readings within tolerance.
20,M00007,M,302.0,310.5,1666,17.9,88,0,0,0,0,0,0,REC00020,LAB001,Lab Analyzer,Beckman AU5800,General Ward,2023-07-13 00:00:00,302.0,310.5,1666,17.9,88,0,No Failure,Low,0.0,0,71,Scheduled check completed. No anomalies detected.
21,M00008,M,301.2,311.2,1426,32.0,44,0,0,0,0,0,0,REC00021,ULT001,Ultrasound,GE LOGIQ E10,Cardiology,2024-08-14 00:00:00,301.2,311.2,1426,32.0,44,0,No Failure,Medium,0.0,0,110,Routine inspection completed. All parameters normal.
22,L00009,L,300.9,309.9,1588,34.2,151,0,0,0,0,0,0,REC00022,INF001,Infusion Pump,Baxter Sigma Spectrum,General Ward,2024-12-02 00:00:00,300.9,309.9,1588,34.2,151,0,No Failure,Low,0.0,0,162,Preventive maintenance performed. Equipment functioning within specifications.
23,H00006,H,301.5,311.0,1168,25.6,9,0,0,0,0,0,0,REC00023,CT001,CT Scanner,Canon Aquilion Prime,Oncology,2024-12-24 00:00:00,301.5,311.0,1168,25.6,9,0,No Failure,Medium,0.0,0,126,Calibration verified. Sensor readings within tolerance.
24,H00007,H,296.4,306.4,1168,29.8,95,0,0,0,0,0,0,REC00024,MRI001,MRI,Siemens MAGNETOM Vida,Radiology,2023-07-15 00:00:00,296.4,306.4,1168,29.8,95,0,No Failure,Medium,0.0,0,145,Scheduled check completed. No anomalies detected.
25,M00009,M,296.4,305.5,1565,41.4,246,0,0,0,0,0,0,REC00025,ICU001,ICU Device,Nellcor PM1000N,Emergency,2024-03-07 00:00:00,296.4,305.5,1565,41.4,246,0,No Failure,Medium,0.0,0,104,Scheduled check completed. No anomalies detected.
26,L00010,L,299.8,309.4,1709,35.1,120,0,0,0,0,0,0,REC00026,PAT001,Patient Monitor,Mindray N22,General Ward,2023-08-02 00:00:00,299.8,309.4,1709,35.1,120,0,No Failure,Low,0.0,0,167,Preventive maintenance performed. Equipment functioning within specifications.
27,L00011,L,299.6,308.9,1452,35.9,25,0,0,0,0,0,0,REC00027,VEN001,Ventilator,Drager Evita V500,ICU,2023-05-22 00:00:00,299.6,308.9,1452,35.9,25,0,No Failure,Low,0.0,0,170,Preventive maintenance performed. Equipment functioning within specifications.
28,L00012,L,301.2,310.4,1929,26.2,211,0,0,0,0,0,0,REC00028,INF001,Infusion Pump,Baxter Sigma Spectrum,ICU,2023-10-09 00:00:00,301.2,310.4,1929,26.2,211,0,No Failure,Low,0.0,0,27,Scheduled check completed. No anomalies detected.
29,L00013,L,300.0,309.0,1211,37.9,45,0,0,0,0,0,0,REC00029,PAT001,Patient Monitor,Mindray N22,Cardiology,2023-02-15 00:00:00,300.0,309.0,1211,37.9,45,0,No Failure,Low,0.0,0,115,Routine inspection completed. All parameters normal.
30,M00010,M,301.2,310.7,1364,25.0,63,0,0,0,0,0,0,REC00030,ULT001,Ultrasound,GE LOGIQ E10,General Ward,2023-05-01 00:00:00,301.2,310.7,1364,25.0,63,0,No Failure,Low,0.0,0,91,Routine inspection completed. All parameters normal.
31,M00011,M,297.5,306.6,1528,54.6,243,0,0,0,0,0,0,REC00031,ICU001,ICU Device,Nellcor PM1000N,Emergency,2024-03-10 00:00:00,297.5,306.6,1528,54.6,243,0,No Failure,Medium,0.0,0,175,Calibration verified. Sensor readings within tolerance.
32,H00008,H,300.0,310.6,1592,57.4,196,0,0,0,0,0,0,REC00032,MRI001,MRI,Philips Ingenia 3T,Oncology,2024-05-16 00:00:00,300.0,310.6,1592,57.4,196,0,No Failure,Medium,0.0,0,105,Routine inspection completed. All parameters normal.
